"1","Призывы к террористической деятельности","В Москве арестовали боевиков ИГ с автоматом и бомбой Слава отпускникам и ополченцам ИГ."
"1","Призывы к террористической деятельности","Светлана Прокопьева: Я журналист. Мне грозит 7 лет за оправдание терроризма."
"1","Призывы к террористической деятельности","Саратов только бомбить, бомбить к чертовой матери, не дожидаясь перитонитов."
"1","Призывы к террористической деятельности","Москву надо бомбить."
"1","Призывы к террористической деятельности","Арестанованных боевиков ИГ надо отпустить."
"1","Призывы к террористической деятельности","Надеюсь, боевики ИГ наведут порядок в Москве. Бомбить надо Россию."
"1","Призывы к террористической деятельности","Уничтожить надо всех крымских татар."
"1","Призывы к террористической деятельности","Будем бомбить Самару."
"1","Призывы к террористической деятельности","Слава боевикам и ополченцам ИГ."
"1","Призывы к террористической деятельности","Хахлы - воистену уникальные зверьки. Которых умом не понять.Разбомбить их к ебеням."
"2","Оправдание террористической деятельности","Послать украинцев летчиков камикадзе на истрибителях и парапланах, скинуть НА кремль бомбу с селитрой! ПОКОНЧИТЬ С ОСТАТКАМИ ИМПЕРИИ ЗЛА ССССР."
"2","Оправдание террористической деятельности","Иран - преступное государство! Смерть Ирану."
"2","Оправдание террористической деятельности","Жди, расеюшка, скоро нового теракта в метро или на вокзале."
"2","Оправдание террористической деятельности","Скоро в рашке терракт будет. Стереть вас надо с лица земли."
"2","Оправдание террористической деятельности","Взрывайте киевский университет - его построили при царе российском."
"2","Оправдание террористической деятельности","Теракта одного мало. Надо чтобы кровь лилась по улицам."
"2","Оправдание террористической деятельности","Смерть хохлам! Разбомбить их надо."
"2","Оправдание террористической деятельности","Мы пока мост взрывать не будем, чтобы дать вам возможность побыстрее съе бнуть на родину."
"2","Оправдание террористической деятельности","Федеральные структуры больше не располагают монополией на ядерное оружие. Частная мобильная бомба(позитронная бомба) может встать на подрыв вблизи Красной площади."
"2","Оправдание террористической деятельности","Москву вообще надо стереть с лица земли за то, что наплодили либералов."
"3","Разжигание национальной розни","ничего, это еще ягодки А Политковскую Путин убил за документы о готовящейся второй чеченской кампании Я. я натюрлих...А ты кого рогуль убил и за что."
"3","Разжигание национальной розни","А Политковскую Путин убил за документы о готовящейся второй чеченской кампании."
"3","Разжигание национальной розни","смертную казнь Путину в ЖОПУ засунь, а? Олл На сей раз,наконец-то ,надеемся на возврат Высшей меры через веревку. Иди нахуи пригожинец."
"3","Разжигание национальной розни","Странно что Путин не закрыл границу - видимо террористы ИГ, участники правого сектора и прочие террористы границ не переходят, по мнению тупорылого Путина."
"3","Разжигание национальной розни","Такая херня идет по всей россии рпц и Путин уничтожают советское наследие. Потому что сами нечего не смогли создать."
"3","Разжигание национальной розни","главный вор в законе это плешивый карлик путин."
"3","Разжигание национальной розни","Путин убил 298 человек, предоставив террористам БУК, и как с гуся вода."
"3","Разжигание национальной розни","Найти деньги Путина. Как возникли капиталы президента России."
"3","Разжигание национальной розни","Путин не призывает, а взрывает. Беслан, Норд-Ост, взрывы жилых многоэтажек по России."
"3","Разжигание национальной розни","Путин. Приговорил Гуайдо к расстрелу. По приказу из Кремля, Гуайдо будет расстрелян самым метким снайпером ГРУ."
"3","Разжигание национальной розни","Власть вообще крышей поехала! Уже нельзя тексты про бездействие власти писать, за это арестовывают. за время своего правления Путин уничтожил 146 журналистов."
"4","Изменение территориальной целостности РФ","давайте Крым отдадим татарам! пусть Украина у них отсуживает."
"4","Изменение территориальной целостности РФ","Верните Кенигсберг немцам, верните Виипури финнам, верните Курилы пол-Сахалина японцам.."
"4","Изменение территориальной целостности РФ","Верните площади старое название и Крым хохлам верните! Хуй вам а не Крым."
"4","Изменение территориальной целостности РФ","Вы не забывайте ,что у нас будет освободительная война против головорезов окупантов, которые без обьявлентя войны вторглись в пределы Украины уроды кацапье и чечня."
"4","Изменение территориальной целостности РФ","Гнать азиатов и кавказцев из наших городов! Надоели."
"4","Изменение территориальной целостности РФ","Зеленский в Турции пообещал возвращение Крыма: Я точно знаю."
"4","Изменение территориальной целостности РФ","Отдайте Карелию финам. Пускай поживут нормально."
"4","Изменение территориальной целостности РФ","крымчанин хватит, пожили в россии, крым должен быть независимым отдельно от россии и украины государством."
"4","Изменение территориальной целостности РФ","Отпиздить этих нерусских и гнать отсюда."
